lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-3.464.451.629.999.990;-583.762.137;331 - PLAZA HERRERA;252;16.0;Herrera y Quinquela Martin, Benito;Herrera;;Quinquela Martin, Benito;Barracas
-346.172.808;-584.167.728;383 - Boedo & Venezuela;253;20.0;Boedo Av. y Republica Bolivariana De Venezuela;Boedo Av.;;Republica Bolivariana De Venezuela;Almagro
-346.206.836;-584.415.718;276 - PRIMERA JUNTA;254;16.0;Rivadavia Av. y Barco Centenera Del;Rivadavia Av.;;Barco Centenera Del;Caballito
-346.221.889;-5.844.855;374 - Puan;255;16.0;Yerbal 1290;Yerbal;1290.0;;Caballito
-34.610.398;-58.454.304;209 - PAYSANDU;256;20.0;Paysandu 1182;Paysandu;1182.0;;Caballito
-34.570.829;-58.481.232.999.999.900;264 - Plaza Marcos Sastre;257;24.0;Miller y Monroe;Miller;;Monroe;Villa Urquiza
-3.456.559.179.999.990;-58.455.483.799.999.900;336 - La Pampa;258;16.0;La Pampa 2250;La Pampa;2250.0;Ciudad De La Paz;Belgrano
-345.580.469;-584.434.052;290 - Club Excursionistas;259;16.0;Miñones 1818;Miñones;1818.0;;Belgrano
-34.550.961;-584.381.142;371 - Paseo de las Americas;260;18.0;Juramento 646;Juramento;646.0;;Belgrano
-34.616.207;-584.406.995;272 - Plaza Bruno Giordano;261;16.0;Bruno, Giordano y Neuquen;Bruno, Giordano;;Neuquen;Caballito
-3.460.962;-584.673.963;349 - Plaza Saenz Peña;262;16.0;Lamas, Andres y Escalada De San Martin, R.;Lamas, Andres;;Escalada De San Martin, R.;Villa General Mitre
-346.217.948;-58.457.527.899.999.900;270 - PLAZA DEL ANGEL GRIS;263;12.0;Calcena y Avellaneda Av.;Calcena;;Avellaneda Av.;Flores
-345.559.308;-584.812.325;283 - CNEL. JUAN CRUZ CZETZ;264;16.0;Balbin, Ricardo, Dr. Av. y Larralde, Crisologo Av.;Balbin, Ricardo, Dr. Av.;;Larralde, Crisologo Av.;Saavedra
-346.418.833;-58.450.658;361 - Plaza Don Segundo Sombra;265;16.0;Santander 2347;Santander;2347.0;;Flores
-346.601.336;-5.842.872.020.000.000;379 - BERG;266;16.0;Berg, Carlos 3402;Berg, Carlos;3402.0;;Villa Soldati
-34.629.651.200.000.000;-584.835.484;353 - PLAZA VELEZ SARSFIELD;267;12.0;Chivilcoy y Avellaneda Av.;Chivilcoy;;Avellaneda Av.;Floresta
-345.500.734;-58.476.643;399 - GARCIA DEL RIO;268;28.0;Garcia Del Rio y Pinto;Garcia Del Rio;;Pinto;Saavedra
-34.577.296.000.000.000;-5.845.785.400.000.000;260 - SAN MIGUEL DE GARICOITS;269;18.0;Delgado y Loreto, Virrey;Delgado;;Loreto, Virrey;Colegiales
-34.640.114.000.000.000;-5.843.026;370 - Beauchef;270;16.0;Beauchef 1995;Beauchef;1995.0;;Parque Chacabuco
-3.463.008;-5.847.426;365 - Venancio Flores;271;20.0;Argerich y Flores, Venancio, Gral.;Argerich;;Flores, Venancio, Gral.;Flores
-345.883.744;-5.846.686.510.000.000;347 - PLAZA MALAVER;272;20.0;Heredia 328;Heredia;328.0;;Villa Ortuzar
-3.461.668;-584.466.674;223 - GAINZA;273;16.0;Gainza, Martin De, Gral. 494;Gainza, Martin De, Gral.;494.0;;Caballito
-345.563.511;-584.630.428;369 - Ciudad De La Paz;274;24.0;Ciudad De La Paz 2816;Ciudad De La Paz;2816.0;;Belgrano
-345.619.095;-5.845.857.289.999.990;256 - PLAZA NORUEGA;275;20.0;Ciudad De La Paz y Mendoza;Ciudad De La Paz;;Mendoza;Belgrano
-34.559.476.000.000.000;-584.699.652;296 - FREIRE;276;16.0;Freire, Ramon, Cap. Gral. 2899;Freire, Ramon, Cap. Gral.;2899.0;;Coghlan
-345.634.645;-5.843.603.670.000.000;292 - PLAZA BOLIVIA;277;12.0;Olleros Av. y Del Libertador Av.;Olleros Av.;;Del Libertador Av.;Palermo
-34.564.083.000.000.000;-58.469.789;233 - MONROE;278;16.0;Superi 2519;Superi;2519.0;;Coghlan
-346.074.177;-58.404.785.399.999.900;325 - CASTELLI Y PERON;279;20.0;Castelli y Peron, Juan Domingo, Tte. General;Castelli;;Peron, Juan Domingo, Tte. General;Balvanera
-34.633.311.299.999.900;-584.494.755;222 - SIMON BOLIVAR;280;24.0;Fernandez Moreno, Baldomero 1701;Fernandez Moreno, Baldomero;1701.0;;Parque Chacabuco
-346.138.773;-5.845.837.420.000.000;350 - Plaza Irlanda;281;16.0;Gaona Av. 2200;Gaona Av.;2200.0;;Caballito
-345.699.743;-584.562.794;332 - PLAZOLETA PORTUGAL;282;20.0;Aviles, Virrey y Cramer;Aviles, Virrey;;Cramer;Colegiales
-346.355.054;-58.456.035;228 - BALDOMERO;283;20.0;Fernandez Moreno, Baldomero 2289;Fernandez Moreno, Baldomero;2289.0;;Flores
-346.311.092;-58.435.094.299.999.900;229 - RIGLOS;284;20.0;Riglos 1019;Riglos;1019.0;;Parque Chacabuco
-34.617.212.200.000.000;-58.356.175.199.999.900;400 - Reserva Ecologica;285;20.0;Achaval Rodriguez, T., Dr. Av. 1520;Achaval Rodriguez, T., Dr. Av.;1520.0;;Puerto Madero
-346.304.712;-5.845.511.120.000.000;284 - BONIFACIO Y CARABOBO;286;16.0;Bonifacio, Jose 1913;Bonifacio, Jose;1913.0;;Flores
-346.103.343;-5.844.091.829.999.990;299 - HIDALGO;287;20.0;Hidalgo 796;Hidalgo;796.0;;Caballito
-346.404.886;-584.429.517;333 - MIRO;288;20.0;Miro 1684;Miro;1684.0;;Parque Chacabuco
-34.559.793.400.000.000;-584.484.316;255 - BARRANCAS DE BELGRANO;289;24.0;Sucre, Antonio Jose De, Mcal. y Vertiz Virrey Av.;Sucre, Antonio Jose De, Mcal.;;Vertiz Virrey Av.;Belgrano
-346.186.003;-584.456.027;224 - FERROCARRIL OESTE;290;20.0;Garcia Lorca, Federico 280;Garcia Lorca, Federico;280.0;;Caballito
-34.616.985;-58.381.620.999.999.900;244 - UADE;291;16.0;Lima 750;Lima;750.0;;Monserrat
-34.634.796;-58.378.108.999.999.900;355 - PLAZA RICARDO LLERAS;292;20.0;Samperio, Manuel J. y Herrera;Samperio, Manuel J.;;Herrera;Barracas
